,ibns_20u,vgs_m1,name,type,time,OK
0,-5.0,1.771715,tran_LayGtKfsTlVh,Lay,Thu Jan 30 12:44:06 2025,False
1,-5.0,1.698051,tran_LayGtKsfTlVh,Lay,Thu Jan 30 12:44:05 2025,False
2,-5.0,1.70807,tran_LayGtKffTlVh,Lay,Thu Jan 30 12:44:03 2025,False
3,-5.0,1.761708,tran_LayGtKssTlVh,Lay,Thu Jan 30 12:44:02 2025,False
4,-5.0,1.704092,tran_LayGtKfsThVh,Lay,Thu Jan 30 12:44:01 2025,False
5,-5.0,1.622196,tran_LayGtKsfThVh,Lay,Thu Jan 30 12:44:00 2025,False
6,-5.0,1.632309,tran_LayGtKffThVh,Lay,Thu Jan 30 12:43:59 2025,False
7,-5.0,1.693919,tran_LayGtKssThVh,Lay,Thu Jan 30 12:43:58 2025,False
8,-5.0,1.771715,tran_LayGtKfsTlVl,Lay,Thu Jan 30 12:43:57 2025,False
9,-5.0,1.698051,tran_LayGtKsfTlVl,Lay,Thu Jan 30 12:43:56 2025,False
10,-5.0,1.70807,tran_LayGtKffTlVl,Lay,Thu Jan 30 12:43:55 2025,False
11,-5.0,1.761708,tran_LayGtKssTlVl,Lay,Thu Jan 30 12:43:54 2025,False
12,-5.0,1.704092,tran_LayGtKfsThVl,Lay,Thu Jan 30 12:43:53 2025,False
13,-5.0,1.622196,tran_LayGtKsfThVl,Lay,Thu Jan 30 12:43:52 2025,False
14,-5.0,1.632309,tran_LayGtKffThVl,Lay,Thu Jan 30 12:43:51 2025,False
15,-5.0,1.693919,tran_LayGtKssThVl,Lay,Thu Jan 30 12:43:50 2025,False
