,ibns_20u,vgs_m1,name,type,time,OK
0,-5.0,1.702412,tran_LayGtKttmmTtVt_29,Lay,Thu Jan 30 12:44:40 2025,False
1,-5.0,1.699316,tran_LayGtKttmmTtVt_28,Lay,Thu Jan 30 12:44:39 2025,False
2,-5.0,1.701879,tran_LayGtKttmmTtVt_27,Lay,Thu Jan 30 12:44:38 2025,False
3,-5.0,1.704313,tran_LayGtKttmmTtVt_26,Lay,Thu Jan 30 12:44:37 2025,False
4,-5.0,1.699811,tran_LayGtKttmmTtVt_25,Lay,Thu Jan 30 12:44:36 2025,False
5,-5.0,1.701784,tran_LayGtKttmmTtVt_24,Lay,Thu Jan 30 12:44:34 2025,False
6,-5.0,1.706674,tran_LayGtKttmmTtVt_23,Lay,Thu Jan 30 12:44:33 2025,False
7,-5.0,1.699283,tran_LayGtKttmmTtVt_22,Lay,Thu Jan 30 12:44:32 2025,False
8,-5.0,1.704731,tran_LayGtKttmmTtVt_21,Lay,Thu Jan 30 12:44:31 2025,False
9,-5.0,1.702474,tran_LayGtKttmmTtVt_20,Lay,Thu Jan 30 12:44:30 2025,False
10,-5.0,1.701536,tran_LayGtKttmmTtVt_19,Lay,Thu Jan 30 12:44:29 2025,False
11,-5.0,1.696454,tran_LayGtKttmmTtVt_18,Lay,Thu Jan 30 12:44:27 2025,False
12,-5.0,1.699627,tran_LayGtKttmmTtVt_17,Lay,Thu Jan 30 12:44:26 2025,False
13,-5.0,1.701427,tran_LayGtKttmmTtVt_16,Lay,Thu Jan 30 12:44:25 2025,False
14,-5.0,1.700047,tran_LayGtKttmmTtVt_15,Lay,Thu Jan 30 12:44:24 2025,False
15,-5.0,1.696786,tran_LayGtKttmmTtVt_14,Lay,Thu Jan 30 12:44:22 2025,False
16,-5.0,1.701623,tran_LayGtKttmmTtVt_13,Lay,Thu Jan 30 12:44:21 2025,False
17,-5.0,1.700403,tran_LayGtKttmmTtVt_12,Lay,Thu Jan 30 12:44:20 2025,False
18,-5.0,1.703303,tran_LayGtKttmmTtVt_11,Lay,Thu Jan 30 12:44:19 2025,False
19,-5.0,1.701804,tran_LayGtKttmmTtVt_10,Lay,Thu Jan 30 12:44:18 2025,False
20,-5.0,1.700604,tran_LayGtKttmmTtVt_9,Lay,Thu Jan 30 12:44:17 2025,False
21,-5.0,1.703349,tran_LayGtKttmmTtVt_8,Lay,Thu Jan 30 12:44:16 2025,False
22,-5.0,1.69981,tran_LayGtKttmmTtVt_7,Lay,Thu Jan 30 12:44:15 2025,False
23,-5.0,1.703931,tran_LayGtKttmmTtVt_6,Lay,Thu Jan 30 12:44:14 2025,False
24,-5.0,1.699263,tran_LayGtKttmmTtVt_5,Lay,Thu Jan 30 12:44:13 2025,False
25,-5.0,1.701722,tran_LayGtKttmmTtVt_4,Lay,Thu Jan 30 12:44:11 2025,False
26,-5.0,1.703773,tran_LayGtKttmmTtVt_3,Lay,Thu Jan 30 12:44:10 2025,False
27,-5.0,1.700794,tran_LayGtKttmmTtVt_2,Lay,Thu Jan 30 12:44:09 2025,False
28,-5.0,1.705404,tran_LayGtKttmmTtVt_1,Lay,Thu Jan 30 12:44:08 2025,False
29,-5.0,1.70352,tran_LayGtKttmmTtVt,Lay,Thu Jan 30 12:44:07 2025,False
