,ibns_20u,vgs_m1,name,type,time,OK
0,-5.0,1.771716,tran_SchGtKfsTlVh,Sch,Fri Jan 17 13:54:06 2025,False
1,-5.0,1.698051,tran_SchGtKsfTlVh,Sch,Fri Jan 17 13:54:06 2025,False
2,-5.0,1.708071,tran_SchGtKffTlVh,Sch,Fri Jan 17 13:54:06 2025,False
3,-5.0,1.761709,tran_SchGtKssTlVh,Sch,Fri Jan 17 13:54:06 2025,False
4,-5.0,1.704093,tran_SchGtKfsThVh,Sch,Fri Jan 17 13:54:06 2025,False
5,-5.0,1.622197,tran_SchGtKsfThVh,Sch,Fri Jan 17 13:54:06 2025,False
6,-5.0,1.63231,tran_SchGtKffThVh,Sch,Fri Jan 17 13:54:05 2025,False
7,-5.0,1.693921,tran_SchGtKssThVh,Sch,Fri Jan 17 13:54:05 2025,False
8,-5.0,1.771716,tran_SchGtKfsTlVl,Sch,Fri Jan 17 13:54:05 2025,False
9,-5.0,1.698051,tran_SchGtKsfTlVl,Sch,Fri Jan 17 13:54:05 2025,False
10,-5.0,1.708071,tran_SchGtKffTlVl,Sch,Fri Jan 17 13:54:05 2025,False
11,-5.0,1.761709,tran_SchGtKssTlVl,Sch,Fri Jan 17 13:54:05 2025,False
12,-5.0,1.704093,tran_SchGtKfsThVl,Sch,Fri Jan 17 13:54:05 2025,False
13,-5.0,1.622197,tran_SchGtKsfThVl,Sch,Fri Jan 17 13:54:04 2025,False
14,-5.0,1.63231,tran_SchGtKffThVl,Sch,Fri Jan 17 13:54:04 2025,False
15,-5.0,1.693921,tran_SchGtKssThVl,Sch,Fri Jan 17 13:54:04 2025,False
