,ibns_20u,vgs_m1,name,type,time,OK
0,-5.0,1.703545,tran_SchGtKttmmTtVt_29,Sch,Fri Jan 17 13:54:12 2025,False
1,-5.0,1.701996,tran_SchGtKttmmTtVt_28,Sch,Fri Jan 17 13:54:12 2025,False
2,-5.0,1.699592,tran_SchGtKttmmTtVt_27,Sch,Fri Jan 17 13:54:12 2025,False
3,-5.0,1.703524,tran_SchGtKttmmTtVt_26,Sch,Fri Jan 17 13:54:12 2025,False
4,-5.0,1.701771,tran_SchGtKttmmTtVt_25,Sch,Fri Jan 17 13:54:12 2025,False
5,-5.0,1.699188,tran_SchGtKttmmTtVt_24,Sch,Fri Jan 17 13:54:12 2025,False
6,-5.0,1.70209,tran_SchGtKttmmTtVt_23,Sch,Fri Jan 17 13:54:12 2025,False
7,-5.0,1.702083,tran_SchGtKttmmTtVt_22,Sch,Fri Jan 17 13:54:11 2025,False
8,-5.0,1.69859,tran_SchGtKttmmTtVt_21,Sch,Fri Jan 17 13:54:11 2025,False
9,-5.0,1.705189,tran_SchGtKttmmTtVt_20,Sch,Fri Jan 17 13:54:11 2025,False
10,-5.0,1.700214,tran_SchGtKttmmTtVt_19,Sch,Fri Jan 17 13:54:11 2025,False
11,-5.0,1.703719,tran_SchGtKttmmTtVt_18,Sch,Fri Jan 17 13:54:11 2025,False
12,-5.0,1.704067,tran_SchGtKttmmTtVt_17,Sch,Fri Jan 17 13:54:11 2025,False
13,-5.0,1.700044,tran_SchGtKttmmTtVt_16,Sch,Fri Jan 17 13:54:11 2025,False
14,-5.0,1.703803,tran_SchGtKttmmTtVt_15,Sch,Fri Jan 17 13:54:10 2025,False
15,-5.0,1.703275,tran_SchGtKttmmTtVt_14,Sch,Fri Jan 17 13:54:10 2025,False
16,-5.0,1.705269,tran_SchGtKttmmTtVt_13,Sch,Fri Jan 17 13:54:10 2025,False
17,-5.0,1.697868,tran_SchGtKttmmTtVt_12,Sch,Fri Jan 17 13:54:10 2025,False
18,-5.0,1.702046,tran_SchGtKttmmTtVt_11,Sch,Fri Jan 17 13:54:10 2025,False
19,-5.0,1.700509,tran_SchGtKttmmTtVt_10,Sch,Fri Jan 17 13:54:10 2025,False
20,-5.0,1.705658,tran_SchGtKttmmTtVt_9,Sch,Fri Jan 17 13:54:09 2025,False
21,-5.0,1.703919,tran_SchGtKttmmTtVt_8,Sch,Fri Jan 17 13:54:09 2025,False
22,-5.0,1.701878,tran_SchGtKttmmTtVt_7,Sch,Fri Jan 17 13:54:09 2025,False
23,-5.0,1.701191,tran_SchGtKttmmTtVt_6,Sch,Fri Jan 17 13:54:09 2025,False
24,-5.0,1.704254,tran_SchGtKttmmTtVt_5,Sch,Fri Jan 17 13:54:09 2025,False
25,-5.0,1.701328,tran_SchGtKttmmTtVt_4,Sch,Fri Jan 17 13:54:09 2025,False
26,-5.0,1.703507,tran_SchGtKttmmTtVt_3,Sch,Fri Jan 17 13:54:09 2025,False
27,-5.0,1.697937,tran_SchGtKttmmTtVt_2,Sch,Fri Jan 17 13:54:09 2025,False
28,-5.0,1.706798,tran_SchGtKttmmTtVt_1,Sch,Fri Jan 17 13:54:08 2025,False
29,-5.0,1.698956,tran_SchGtKttmmTtVt,Sch,Fri Jan 17 13:54:08 2025,False
